sample-id,MouseID_recoded,All,Genotype,Diet,Timepoint,Timepoint1vs2WTcontrol,Timepoint1vs2WTWestern,Timepoint1vs2HETcontrol,Timepoint1vs2HETWestern,Timepoint1vs2KOcontrol,Timepoint1vs2KOWestern,Timepoint1ControlWTvsHET,Timepoint1ControlWTvsKO,Timepoint1ControlHETvsKO
122,63_1,HET_t1_control,het,Control,T1,NA,NA,HET_t1_control,NA,NA,NA,HET_t1_control,NA,HET_t1_control
123,64_1,HET_t1_control,het,Control,T1,NA,NA,HET_t1_control,NA,NA,NA,HET_t1_control,NA,HET_t1_control
124,65_1,HET_t1_control,het,Control,T1,NA,NA,HET_t1_control,NA,NA,NA,HET_t1_control,NA,HET_t1_control
125,86_1,HET_t1_control,het,Control,T1,NA,NA,HET_t1_control,NA,NA,NA,HET_t1_control,NA,HET_t1_control
126,72_1,HET_t1_western,het,Western,T1,NA,NA,NA,HET_t1_western,NA,NA,NA,NA,NA
127,73_1,HET_t1_western,het,Western,T1,NA,NA,NA,HET_t1_western,NA,NA,NA,NA,NA
128,74_1,HET_t1_western,het,Western,T1,NA,NA,NA,HET_t1_western,NA,NA,NA,NA,NA
129,75_1,HET_t1_western,het,Western,T1,NA,NA,NA,HET_t1_western,NA,NA,NA,NA,NA
130,101_1,WT_t1_western,wt,Western,T1,NA,WT_t1_western,NA,NA,NA,NA,NA,NA,NA
131,112_1,WT_t1_control,wt,Control,T1,WT_t1_control,NA,NA,NA,NA,NA,WT_t1_control,WT_t1_control,NA
132,113_1,WT_t1_control,wt,Control,T1,WT_t1_control,NA,NA,NA,NA,NA,WT_t1_control,WT_t1_control,NA
133,104_1,WT_t1_western,wt,Western,T1,NA,WT_t1_western,NA,NA,NA,NA,NA,NA,NA
134,115_1,WT_t1_control,wt,Control,T1,WT_t1_control,NA,NA,NA,NA,NA,WT_t1_control,WT_t1_control,NA
135,121_1,WT_t1_western,wt,Western,T1,NA,WT_t1_western,NA,NA,NA,NA,NA,NA,NA
136,122_1,WT_t1_western,wt,Western,T1,NA,WT_t1_western,NA,NA,NA,NA,NA,NA,NA
137,103_1,WT_t1_western,wt,Western,T1,NA,WT_t1_western,NA,NA,NA,NA,NA,NA,NA
138,105_1,WT_t1_western,wt,Western,T1,NA,WT_t1_western,NA,NA,NA,NA,NA,NA,NA
139,125_1,WT_t1_western,wt,Western,T1,NA,WT_t1_western,NA,NA,NA,NA,NA,NA,NA
140,91_1,WT_t1_control,wt,Control,T1,WT_t1_control,NA,NA,NA,NA,NA,WT_t1_control,WT_t1_control,NA
141,92_1,WT_t1_control,wt,Control,T1,WT_t1_control,NA,NA,NA,NA,NA,WT_t1_control,WT_t1_control,NA
142,93_1,WT_t1_control,wt,Control,T1,WT_t1_control,NA,NA,NA,NA,NA,WT_t1_control,WT_t1_control,NA
155,41_2,KO_t2_western,ko,Western,T2,NA,NA,NA,NA,NA,KO_t2_western,NA,NA,NA
156,42_2,KO_t2_western,ko,Western,T2,NA,NA,NA,NA,NA,KO_t2_western,NA,NA,NA
143,13_2,KO_t2_control,ko,Control,T2,NA,NA,NA,NA,KO_t2_control,NA,NA,NA,NA
144,14_2,KO_t2_control,ko,Control,T2,NA,NA,NA,NA,KO_t2_control,NA,NA,NA,NA
145,15_2,KO_t2_control,ko,Control,T2,NA,NA,NA,NA,KO_t2_control,NA,NA,NA,NA
146,16_2,KO_t2_control,ko,Control,T2,NA,NA,NA,NA,KO_t2_control,NA,NA,NA,NA
147,21_2,KO_t2_control,ko,Control,T2,NA,NA,NA,NA,KO_t2_control,NA,NA,NA,NA
148,22_2,KO_t2_control,ko,Control,T2,NA,NA,NA,NA,KO_t2_control,NA,NA,NA,NA
149,23_2,KO_t2_control,ko,Control,T2,NA,NA,NA,NA,KO_t2_control,NA,NA,NA,NA
150,24_2,KO_t2_control,ko,Control,T2,NA,NA,NA,NA,KO_t2_control,NA,NA,NA,NA
158,45_2,KO_t2_western,ko,Western,T2,NA,NA,NA,NA,NA,KO_t2_western,NA,NA,NA
151,31_2,KO_t2_western,ko,Western,T2,NA,NA,NA,NA,NA,KO_t2_western,NA,NA,NA
152,33_2,KO_t2_western,ko,Western,T2,NA,NA,NA,NA,NA,KO_t2_western,NA,NA,NA
153,34_2,KO_t2_western,ko,Western,T2,NA,NA,NA,NA,NA,KO_t2_western,NA,NA,NA
157,44_2,KO_t2_western,ko,Western,T2,NA,NA,NA,NA,NA,KO_t2_western,NA,NA,NA
154,35_2,KO_t2_western,ko,Western,T2,NA,NA,NA,NA,NA,KO_t2_western,NA,NA,NA
171,81_2,HET_t2_control,het,Control,T2,NA,NA,HET_t2_control,NA,NA,NA,NA,NA,NA
159,52_2,HET_t2_western,het,Western,T2,NA,NA,NA,HET_t2_western,NA,NA,NA,NA,NA
160,53_2,HET_t2_western,het,Western,T2,NA,NA,NA,HET_t2_western,NA,NA,NA,NA,NA
161,54_2,HET_t2_western,het,Western,T2,NA,NA,NA,HET_t2_western,NA,NA,NA,NA,NA
162,55_2,HET_t2_western,het,Western,T2,NA,NA,NA,HET_t2_western,NA,NA,NA,NA,NA
163,61_2,HET_t2_control,het,Control,T2,NA,NA,HET_t2_control,NA,NA,NA,NA,NA,NA
172,82_2,HET_t2_control,het,Control,T2,NA,NA,HET_t2_control,NA,NA,NA,NA,NA,NA
164,63_2,HET_t2_control,het,Control,T2,NA,NA,HET_t2_control,NA,NA,NA,NA,NA,NA
165,64_2,HET_t2_control,het,Control,T2,NA,NA,HET_t2_control,NA,NA,NA,NA,NA,NA
166,65_2,HET_t2_control,het,Control,T2,NA,NA,HET_t2_control,NA,NA,NA,NA,NA,NA
173,86_2,HET_t2_control,het,Control,T2,NA,NA,HET_t2_control,NA,NA,NA,NA,NA,NA
167,72_2,HET_t2_western,het,Western,T2,NA,NA,NA,HET_t2_western,NA,NA,NA,NA,NA
168,73_2,HET_t2_western,het,Western,T2,NA,NA,NA,HET_t2_western,NA,NA,NA,NA,NA
169,74_2,HET_t2_western,het,Western,T2,NA,NA,NA,HET_t2_western,NA,NA,NA,NA,NA
170,75_2,HET_t2_western,het,Western,T2,NA,NA,NA,HET_t2_western,NA,NA,NA,NA,NA
177,101_2,WT_t2_western,wt,Western,T2,NA,WT_t2_western,NA,NA,NA,NA,NA,NA,NA
181,112_2,WT_t2_control,wt,Control,T2,WT_t2_control,NA,NA,NA,NA,NA,NA,NA,NA
182,113_2,WT_t2_control,wt,Control,T2,WT_t2_control,NA,NA,NA,NA,NA,NA,NA,NA
179,104_2,WT_t2_western,wt,Western,T2,NA,WT_t2_western,NA,NA,NA,NA,NA,NA,NA
183,115_2,WT_t2_control,wt,Control,T2,WT_t2_control,NA,NA,NA,NA,NA,NA,NA,NA
184,121_2,WT_t2_western,wt,Western,T2,NA,WT_t2_western,NA,NA,NA,NA,NA,NA,NA
185,122_2,WT_t2_western,wt,Western,T2,NA,WT_t2_western,NA,NA,NA,NA,NA,NA,NA
178,103_2,WT_t2_western,wt,Western,T2,NA,WT_t2_western,NA,NA,NA,NA,NA,NA,NA
180,105_2,WT_t2_western,wt,Western,T2,NA,WT_t2_western,NA,NA,NA,NA,NA,NA,NA
186,125_2,WT_t2_western,wt,Western,T2,NA,WT_t2_western,NA,NA,NA,NA,NA,NA,NA
174,91_2,WT_t2_control,wt,Control,T2,WT_t2_control,NA,NA,NA,NA,NA,NA,NA,NA
175,92_2,WT_t2_control,wt,Control,T2,WT_t2_control,NA,NA,NA,NA,NA,NA,NA,NA
176,93_2,WT_t2_control,wt,Control,T2,WT_t2_control,NA,NA,NA,NA,NA,NA,NA,NA
